"eventDate","year","month","day","decimalLatitude","decimalLongitude","stateProvince","order","scientificName","vernacularName","individualCount"
"2001-09-05",2001,9,5,-37.1737,142.5507,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-30",2001,10,30,-37.1457,142.7495,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-11-08",2001,11,8,-37.1509,142.7642,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-27",2001,12,27,-36.9103,145.5077,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-02-24",2001,2,24,-38.1355,144.2372,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-03-01",2002,3,1,-37.1387,142.7977,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-02-28",2002,2,28,-37.1542,142.7834,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-22",2001,8,22,-37.1397,142.7313,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-15",2001,12,15,-38.2068,145.0429,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-05-01",2002,5,1,-38.3858,145.1412,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-10-24",2001,10,24,-37.4,141.2,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-02-14",2002,2,14,-38.8754,145.9597,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-03-01",2002,3,1,-37.2209,144.4794,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-05",2000,9,5,-38.3923,146.8415,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-04",2000,9,4,-38.4086,146.8449,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-08",2000,9,8,-38.4437,146.8471,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-16",2001,8,16,-37.8885,147.1929,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-13",2001,8,13,-37.878,147.518,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-09-03",2001,9,3,-37.8598,147.0757,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-03",2001,10,3,-37.9313,147.3716,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-27",2001,1,27,-36.8339,144.9732,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-01",2001,8,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-08-24",2002,8,24,-36.5044,146.1196,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-02-16",2002,2,16,-34.5818,141.5846,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-05",2001,10,5,-37.6295,144.9631,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-26",2001,12,26,-37.505,148.855,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-27",2002,1,27,-37.7541,145.8484,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-10-13",2002,10,13,-36.7911,144.6594,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2002-10-13",2002,10,13,-36.7448,144.6854,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2002-10-08",2002,10,8,-38.6749,145.6534,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-10-06",2002,10,6,-38.671,145.628,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-10-20",2002,10,20,-36.2072,147.8372,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-10-28",2002,10,28,-37.627,145.183,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-11-26",2002,11,26,-38.6749,145.6534,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2003-01-01",2003,1,1,-37.7643,147.7897,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-16",2001,12,16,-38.4416,143.6602,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-03-02",2002,3,2,-36.7837,144.9902,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-04-20",2002,4,20,-36.7837,144.9902,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-05-11",2002,5,11,-36.7837,144.9902,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-07-09",2002,7,9,-36.7837,144.9902,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-10-21",2002,10,21,-37.7,145.154,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-02-05",2002,2,5,-38.3009,143.9317,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-02-06",2002,2,6,-38.2998,143.9397,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-02-05",2002,2,5,-38.2895,143.9553,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-02-05",2002,2,5,-38.288,143.961,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-02-05",2002,2,5,-38.2778,143.9914,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-02-05",2002,2,5,-38.24,143.99,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-28",2002,1,28,-38.116,143.757,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-28",2002,1,28,-38.1136,143.7805,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-01-28",2002,1,28,-38.1067,143.8031,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-01-28",2002,1,28,-38.1067,143.8031,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-02-19",2002,2,19,-38.1488,144.3017,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2002-02-20",2002,2,20,-38.1488,144.3017,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2002-01-08",2002,1,8,-38.385,143.77,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-08",2002,1,8,-38.3386,143.7926,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-09",2002,1,9,-38.3386,143.7926,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-09",2002,1,9,-38.3302,143.8025,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-02-14",2002,2,14,-37.7502,145.7305,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2002-02-15",2002,2,15,-37.7631,145.7552,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-02-15",2002,2,15,-37.7667,145.7563,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-11-07",2002,11,7,-37.8451,145.3174,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-02-12",2002,2,12,-37.8461,145.3253,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-11-06",2002,11,6,-37.8461,145.3253,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-11-07",2002,11,7,-37.8461,145.3253,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-13",2002,9,13,-37.4268,144.8183,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-14",2002,9,14,-37.4267,144.8115,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-13",2002,9,13,-37.4231,144.8094,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-11-30",2002,11,30,-37.4231,144.8094,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-14",2002,9,14,-37.4003,144.8936,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-11-29",2002,11,29,-37.4003,144.8936,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-13",2002,9,13,-37.4068,144.9047,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",3
"2002-09-14",2002,9,14,-37.4068,144.9047,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-09-13",2002,9,13,-37.4038,144.8901,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2002-09-14",2002,9,14,-37.4038,144.8901,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-02-12",2002,2,12,-37.854,145.324,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-14",2002,1,14,-37.7764,145.5756,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-15",2002,1,15,-37.7764,145.5756,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-05-07",2002,5,7,-37.4723,145.1585,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-05-08",2002,5,8,-37.4723,145.1585,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-05-08",2002,5,8,-37.4768,145.1595,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-29",2002,1,29,-38.0998,144.0652,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-01-29",2002,1,29,-38.0978,144.0562,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-09-20",2002,9,20,-36.2577,144.2403,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
